date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:42:44	48709/48709	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2006:12:44%20GMT	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html	(from )
11:42:45	1002/1002	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2006:12:44%20GMT	https://demo.w3layouts.com/robots.txt		(from )
11:42:45	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%221545043109%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/css/bootstrap.min.css	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/css/bootstrap.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:42:46	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221545043109%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/css/font-awesome.min.css	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/css/font-awesome.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:42:47	28469/28469	---M-Z	200	added ('OK')	text/css	etag:%221545043109%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/css/style.css	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/css/style.css	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:42:49	454/454	---MC-	200	added ('OK')	text/css	date:Mon,%2010%20Oct%202022%2006:12:49%20GMT	http://fonts.googleapis.com/css?family=Playfair+Display:400,700	/home/kumartej/websites/forest2/fonts.googleapis.com/cssaba3.css	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:42:49	490/490	---MC-	200	added ('OK')	text/css	date:Mon,%2010%20Oct%202022%2006:12:49%20GMT	http://fonts.googleapis.com/css?family=Open+Sans:400,600	/home/kumartej/websites/forest2/fonts.googleapis.com/css0e2b.css	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:42:51	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221611161698%22	https://demo.w3layouts.com/assests/css/font-awesome.min.css	/home/kumartej/websites/forest2/demo.w3layouts.com/assests/css/font-awesome.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:42:53	67568/67568	---MCZ	200	added ('OK')	application/javascript	etag:W/%224896c8077f50520418d4d1ab293b6545%22	http://m.servedby-buysellads.com/monetization.js	/home/kumartej/websites/forest2/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:42:53	50171/50171	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/ab1.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/ab1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:42:53	73334/73334	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/g1.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/g1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:42:55	33121/33121	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/g2.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/g2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:42:55	28546/28546	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/g3.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/g3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:42:57	56606/56606	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/g7.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/g7.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:42:58	35244/35244	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/g4.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/g4.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:42:59	42061/42061	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/t3.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/t3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:43:00	35142/35142	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/g5.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/g5.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:43:01	93221/93221	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/g6.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/g6.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:43:02	61685/61685	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/ab2.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/ab2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:43:03	27794/27794	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/c1.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/c1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:43:03	23844/23844	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/c2.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/c2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:43:04	28361/28361	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/c3.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/c3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:43:05	29858/29858	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/t1.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/t1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:43:07	49214/49214	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/t2.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/t2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:43:09	42412/42412	---M--	200	added ('OK')	image/jpeg	etag:%221573816740%22	https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/t4.jpg	/home/kumartej/websites/forest2/demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/images/t4.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
11:43:09	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2010%20Oct%202022%2006:13:08%20GMT	http://fonts.googleapis.com/robots.txt		(from https://demo.w3layouts.com/demos_new/template_demo/17-12-2018/forest-demo_Free/2069386206/web/index.html)
